表示語	解析語
Tatarujo	Tatarujo
Tebaido	Tebaido
Teguo	Teguo
Tehrano	Tehrano
Telemaĥo	Telemaĥo
Temistoklo	Temistoklo
Teodiceo	Teodiceo
Teodozia	Teodozia
Teodozio	Teodozio
Teofilo	Teofilo
Teogniso	Teogniso
Teokrito	Teokrito
Terencio	Terencio
Termidoro	Termidoro
Termopiloj	Termopiloj
Terpsikoro	Terpsikoro
Tertuliano	Tertuliano
Tespiso	Tespiso
Tetiso	Tetiso
Tiberio	Tiberio
Tibulo	Tibulo
Ticiano	Ticiano
Tiesto	Tiesto
Timoteo	Timoteo
Tirena	Tirena
Tirezio	Tirezio
Tirola	Tirola
Tirteo	Tirteo
Tisbo	Tisbo
Tito-Livio	Tito-Livio
TNT	TNT
Tobio	Tobio
Toluo	Toluo
Tomisto	Tomisto
Tomo	Tomo
Torkemado	Torkemado
Toskanujo	Toskanujo
Toto	Toto
Trajano	Trajano
Trans-Kaŭkazio	Trans-Kaŭkazio
Trentio	Trentio
Trinitatano	Trinitatano
Trinitato	Trinitato
Tripolio	Tripolio
Triptolemo	Triptolemo
Trismegisto	Trismegisto
Tristano	Tristano
Troado	Troado
Troilo	Troilo
Troja	Troja
Trojanoj	Trojanoj
Trojio	Trojio
Tucidido	Tucidido
Tudora	Tudora
Tudoro	Tudoro
Tuilerioj	Tuilerioj
Tuleo	Tuleo
Tullo	Tullo
U-bombo	U-bombo
Udmurtio	Udmurtio
Umaro	Umaro
Unuel	Unuel
Upaniŝadoj	Upaniŝadoj
Ursulanino	Ursulanino
Urugvaĵo	Urugvaĵo
Utiko	Utiko
Vagnera	Vagnera
Valaĥujo	Valaĥujo
Valdano	Valdano
Valdemaro	Valdemaro
Valdismo	Valdismo
Valdo	Valdo
Valenciena	Valenciena
Valentiniano	Valentiniano
Valerio	Valerio
Valezianoj	Valezianoj
Valpurga	Valpurga
Valpurgo	Valpurgo
Van-Dejka	Van-Dejka
Varanasio	Varanasio
Varuno	Varuno
Vasermano	Vasermano
Veda	Veda
Vedoj	Vedoj
Venceslao	Venceslao
Vendeano	Vendeano
Vendemiero	Vendemiero
Ventozo	Ventozo
Veronezo	Veronezo
Vespaziano	Vespaziano
Vezero	Vezero
Viktorina	Viktorina
Virtembergo	Virtembergo
Vitruvio	Vitruvio
Vojvodino	Vojvodino
Volfgango	Volfgango
Vorarlbergo	Vorarlbergo
X-radioj	X-radioj
Zadigo	Zadigo
Zakario	Zakario
Zaratuŝtro	Zaratuŝtro
Zenero	Zenero
Zeŭksiso	Zeŭksiso
Zoharo	Zoharo
Zoilo	Zoilo
Ĉadio	Ĉadio
Ĉadlando	Ĉadlando
Ĉefeĉ-ŝlosilo	Ĉefeĉ-ŝlosilo
Ĉerkesujo	Ĉerkesujo
Ĉestro	Ĉestro
Ĉeviota	Ĉeviota
Ĝafaro	Ĝafaro
Ĝaganato	Ĝaganato
Ĝahano	Ĝahano
Ĝeneralifo	Ĝeneralifo
Ĝenĝis	Ĝenĝis
Ĝeraldo	Ĝeraldo
Ĝermanio	Ĝermanio
Ĝerminalo	Ĝerminalo
Ĝirondio	Ĝirondio
Ĝofredo	Ĝofredo
Ĝubao	Ĝubao
Ĥabakuko	Ĥabakuko
Ĥagajo	Ĥagajo
Ĥamido	Ĥamido
Ĥanoĥo	Ĥanoĥo
Ĥanuko	Ĥanuko
Ĥaribdo	Ĥaribdo
Ĥatiano	Ĥatiano
Ĥatio	Ĥatio
Ĥimeno	Ĥimeno
Ĥiramo	Ĥiramo
Ĥorebo	Ĥorebo
Ĥorsabado	Ĥorsabado
Ĥuramo	Ĥuramo
Ŝebaismo	Ŝebaismo
Ŝekspira	Ŝekspira
Ŝetlanda	Ŝetlanda
Ŝeĥemo	Ŝeĥemo
Ŝivo	Ŝivo
Ŝjiningo	Ŝjiningo
Ŝlesvigio	Ŝlesvigio
Ŝulamito	Ŝulamito
Ŝunemo	Ŝunemo
Ŝvabio	Ŝvabio
Ŝvano	Ŝvano
Ŝvanomo	Ŝvanomo
Ŝvarca	Ŝvarca
Ŝvarco	Ŝvarco
